line	fine_domain	super_domain	contested_claim	affirmed_by	denied_by	contested_source_urls	contested_rationale	consensual_claim	consensual_source_urls	consensual_rationale	author_provenance
87	conservation	life_sciences	Strict reserves outperform multiple-use reserves at preventing tropical forest fires.	strict-protection effectiveness researchers	multiple-use reserve effectiveness researchers	https://pmc.ncbi.nlm.nih.gov/articles/PMC3156699/|https://www.sciencedirect.com/science/article/pii/S2590332223003901	The paired conservation studies compare strict and multiple-use protection at the narrower tropical-forest fire scope stated in the claim.	Large protected habitats consistently exceed small comparable habitats in species richness.	https://www.ecologyandsociety.org/vol9/iss2/art11/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
88	education	mind_language_society	School grades predict university success better than standardized tests.	Allensworth-line school-grade validity researchers	SAT and ACT predictive-validity researchers	https://doi.org/10.3102/0013189X20902110|https://opportunityinsights.org/paper/test-scores/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Silent reading generally proceeds faster than reading aloud.	https://www.sciencedirect.com/science/article/pii/S0749596X19300786	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
89	education	mind_language_society	Performance-based teacher pay detectably boosts student test scores.	merit-pay proponents (Muralidharan & Sundararaman)	US-RCT nulls (Springer et al.; POINT/Nashville)	https://www.nber.org/papers/w15323	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Phonological awareness supports early decoding during alphabetic reading instruction.	https://www.nichd.nih.gov/publications/pubs/nrp/Documents/report.pdf	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
90	education	mind_language_society	Homework provides little academic benefit to primary school children.	Cooper-line (little benefit for young children)	homework-benefit proponents	https://doi.org/10.3102/00346543076001001	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Literacy rates rose worldwide during the twentieth century.	https://uis.unesco.org/en/topic/literacy	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
91	psychology	mind_language_society	Induced teacher expectations affect students' later academic achievement.	Rosenthal-Raudenbush expectancy-effect researchers	Jussim-line accuracy and small-effect skeptics	https://pmc.ncbi.nlm.nih.gov/articles/PMC11639072/|https://doi.org/10.1037/0022-0663.76.1.85	The experimental synthesis estimates effects of induced expectations, while the recent review documents strong moderators and continuing scope disputes.	Sleep deprivation impairs sustained attention during demanding tasks.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6879580/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
92	sociology	mind_language_society	Childhood neighborhoods explain material differences in adult earnings.	Chetty-Hendren causal neighborhood-exposure researchers	Mogstad-Torsvik family-background and identification reviewers	https://www.nber.org/papers/w23001|https://www.nber.org/papers/w28874	Chetty and Hendren estimate childhood exposure effects on adult earnings; the paired review critically assesses neighborhood and family-background channels.	Population density measures residents per unit of land area.	https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
93	education	mind_language_society	Smaller class sizes boost students' long-run academic outcomes.	STAR-experiment interpreters (Krueger)	class-size skeptics (Hanushek)	https://www.nber.org/papers/w7656	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Repeated retrieval outperforms passive rereading for later recall.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6920633/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
94	sociology	mind_language_society	The neighborhood a child grows up in causally affects adult income.	Chetty et al. (Moving to Opportunity; Opportunity Atlas)	selection-effect skeptics	https://www.aeaweb.org/articles?id=10.1257/aer.20150572	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Population censuses enumerate residents in defined geographic areas.	https://www.census.gov/programs-surveys/decennial-census/about.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
95	organizational	mind_language_society	Functionally diverse teams solve complex problems better than homogeneous teams.	diversity-bonus proponents (Page-line)	mixed-evidence skeptics (van Dijk et al. meta)	https://pmc.ncbi.nlm.nih.gov/articles/PMC528939/|https://pmc.ncbi.nlm.nih.gov/articles/PMC9645621/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Centralized organizations concentrate more decision-making authority at senior levels than decentralized organizations.	https://openstax.org/books/principles-management/pages/10-1-organizational-structures-and-design	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
96	public_health	medicine_health	Portugal's drug decriminalization lowered drug-related mortality.	Portugal decriminalization public-health evaluators	causal-attribution and cross-country comparator critics	https://pmc.ncbi.nlm.nih.gov/articles/PMC8285857/|https://pmc.ncbi.nlm.nih.gov/articles/PMC7507857/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Handwashing lowers the spread of infectious disease in hospitals.	https://www.cdc.gov/clean-hands/about/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
97	public_health	medicine_health	Stricter firearm regulation materially lowers homicide rates.	gun-control public-health researchers (Hemenway)	Lott-line skeptics	https://www.rand.org/research/gun-policy.html	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Clean drinking water limits transmission of intestinal disease.	https://www.who.int/news-room/fact-sheets/detail/drinking-water	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
98	criminology	mind_language_society	Body-worn police cameras decrease civilian complaints by changing behavior.	body-camera behavior-change trialists	null-effect trialists and reporting-mechanism critics	https://www.nber.org/papers/w28622	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Police forces record reported offences in official crime statistics.	https://www.gov.uk/government/publications/counting-rules-for-recorded-crime	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
99	public_health	medicine_health	Cannabis legalization produces more traffic fatalities than prohibition does.	traffic-harm legalization researchers	null-effect and enforcement-substitution researchers	https://www.nber.org/papers/w24417|https://pmc.ncbi.nlm.nih.gov/articles/PMC7309574/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Chlorinated drinking water carries less microbial contamination than untreated water.	https://www.cdc.gov/drinking-water/about/about-water-disinfection-with-chlorine-and-chloramine.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
100	psychology	mind_language_society	Implicit bias tests predict real-world discriminatory behavior.	IAT proponents (Greenwald & Banaji)	predictive-validity critics (Oswald et al. meta; Blanton)	https://pubmed.ncbi.nlm.nih.gov/23773046/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Pupillary responses vary with changes in mental workload.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6267528/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
101	psychology	mind_language_society	Growth-mindset interventions produce lasting gains in academic achievement.	Dweck-line growth-mindset proponents	replication skeptics (Sisk et al. meta; Bahník & Vranka)	https://www.nature.com/articles/s41586-019-1466-y|https://pubmed.ncbi.nlm.nih.gov/36326645/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The retina sends visual signals to the brain along the optic nerve.	https://www.nei.nih.gov/learn-about-eye-health/healthy-vision/how-eyes-work	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
102	psychology	mind_language_society	Evidence supports a real and replicable ego-depletion effect.	Baumeister-line ego-depletion proponents	multi-lab replication failure (Hagger et al. 2016)	https://pubmed.ncbi.nlm.nih.gov/27474142/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Stress activates the release of cortisol from the adrenal glands.	https://www.ncbi.nlm.nih.gov/books/NBK538239/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
103	psychology	mind_language_society	Early bilingualism delays the onset of dementia.	Bialystok-line bilingual-advantage researchers	null-result researchers (Mukadam; cohort studies)	https://pubmed.ncbi.nlm.nih.gov/24198291/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Working memory holds a limited amount of information for seconds.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4207727/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
104	psychology	mind_language_society	Facial expressions causally influence corresponding emotional experience.	facial-feedback and embodied-emotion researchers	facial-feedback replication skeptics	https://www.nature.com/articles/s41562-022-01458-9	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Long-term memories consolidate over hours and days after learning.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4526749/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
105	psychology	mind_language_society	Grit predicts academic achievement better than conscientiousness and intelligence.	Duckworth-line grit researchers	Crede-line incremental-validity meta-analysts	https://pubmed.ncbi.nlm.nih.gov/27845531/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Recognition memory usually proves more accurate than free recall.	https://ecampusontario.pressbooks.pub/communicationpsychology/chapter/6-2-varieties-of-memory/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
106	psychology	mind_language_society	Power poses boost subjective confidence using embodied feedback.	embodied-cognition power-pose researchers	preregistered replication skeptics	https://journals.sagepub.com/doi/10.1177/1745691620919358|https://link.springer.com/article/10.1186/s40359-024-02194-7	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Children acquire their first language before explicit formal instruction.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7236655/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
107	history	history_archaeology	German expansionism chiefly explains the First World War.	Fischer thesis (Fritz Fischer)	"shared-responsibility historians (Clark, ""Sleepwalkers"")"	https://encyclopedia.1914-1918-online.net/article/the-historiography-of-the-origins-of-the-first-world-war/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The Second World War ended in nineteen forty-five.	https://www.archives.gov/college-park/highlights/japanese-surrender	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
108	history	history_archaeology	The Roman Empire fell chiefly from internal decay.	internalist decline (Gibbon-line)	transformation historians (P. Brown vs Ward-Perkins debate)	https://www.jstor.org/stable/24404943	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The Industrial Revolution introduced steam power to manufacturing.	https://www.nps.gov/lowe/learn/photosmultimedia/industry.htm	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
109	history	history_archaeology	Extractive colonial institutions made former colonies poorer than inclusive colonial institutions did.	Acemoglu-Johnson-Robinson extractive-institutions researchers	Albouy-line identification and mortality-data critics	https://www.aeaweb.org/articles?id=10.1257/aer.91.5.1369|https://www.aeaweb.org/articles?id=10.1257/aer.102.6.3059	Acemoglu, Johnson, and Robinson identify effects of extractive colonial institutions; Albouy disputes the mortality instrument and resulting estimates.	Archaeological evidence reaches farther back than written historical records.	https://humanorigins.si.edu/evidence/human-evolution-interactive-timeline	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
110	history	history_archaeology	Military necessity justified the atomic bombings of Japan.	necessity-thesis (traditionalist) historians	"revisionists (Alperovitz; Hasegawa, ""Racing the Enemy"")"	https://visit.archives.gov/whats-on/explore-exhibits/atomic-bombing-hiroshima-and-nagasaki|https://nsarchive.gwu.edu/briefing-book/nuclear-vault/2020-08-04/atomic-bomb-end-world-war-ii	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Christopher Columbus crossed the Atlantic under the Spanish crown.	https://www.loc.gov/exhibits/1492/columbus.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
111	history	history_archaeology	Britain's high wages and cheap coal underpinned the Industrial Revolution.	Allen high-wage and cheap-energy historians	institutional, scientific, and global-contingency historians	https://www.thebritishacademy.ac.uk/documents/2079/pba167p199_0.pdf	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Napoleon suffered final defeat at the battle of Waterloo.	https://www.nam.ac.uk/explore/battle-waterloo	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
112	history	history_archaeology	Hitler's prior plan explains the Holocaust better than cumulative bureaucratic radicalization.	intentionalist Holocaust historians	functionalist and cumulative-radicalization historians	https://www.ushmm.org/m/pdfs/20050726-longerich.pdf|https://www.cambridge.org/core/journals/central-european-history/article/holocaust-scholarship-and-politics-in-the-public-sphere-reexamining-the-causes-consequences-and-controversy-of-the-historikerstreit-and-the-goldhagen-debate/425284F6597A9A75A1B001DB674705E6	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Steamships crossed oceans faster than sailing ships under typical conditions.	https://www.nps.gov/safr/blogs/did-the-age-of-sail-end-part-1-sail-gives-way-to-steam.htm	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
113	history	history_archaeology	Soviet economic weakness chiefly explains the Cold War's end.	Prados-line Soviet internal-weakness historians	Leffler-line agency and diplomatic-interaction historians	https://www.airuniversity.af.edu/ASPJ/Book-Reviews/Article/1291711/how-the-cold-war-ended-debating-and-doing-history/|https://tnsr.org/2018/05/ronald-reagan-and-the-cold-war-what-mattered-most/	Prados gives primary weight to internal Soviet weaknesses; Leffler argues that weakness alone cannot explain the ending without leadership and diplomacy.	The Roman Republic preceded the Roman Empire as a political order.	https://www.britannica.com/place/Roman-Republic	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
114	history	history_archaeology	Atlantic trade chiefly explains Western Europe's early modern economic rise.	Acemoglu-Johnson-Robinson Atlantic-trade historians	O'Brien-line periphery-contribution skeptics	https://www.aeaweb.org/articles?id=10.1257/0002828054201305|https://doi.org/10.1111/j.1468-0289.1982.tb01183.x	Acemoglu, Johnson, and Robinson attribute much of Western Europe's rise to Atlantic trade; O'Brien estimates a much smaller contribution from the periphery.	The French Revolution began as a political upheaval in seventeen eighty-nine.	https://history.state.gov/milestones/1784-1800/french-rev	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
115	history	history_archaeology	The Black Death chiefly triggered Europe's wage revolution.	post-plague real-wage historians (Pamuk; Herlihy)	alternative-cause historians	https://www.aeaweb.org/articles?id=10.1257/jel.20201639	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The printing press spread throughout Europe during the fifteenth century.	https://internationalpublishers.org/the-history-of-the-printing-press/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
116	archaeology	history_archaeology	Evidence favors the Pacific coastal route more than the inland corridor.	Pacific coastal-migration archaeologists	interior ice-free-corridor archaeologists	https://www.science.org/doi/10.1126/science.aat5447|https://www.science.org/doi/10.1126/science.aar8645	Waters reviews evidence favoring the Pacific route, while the published exchange argues that the relative viability and timing of both routes remain uncertain.	Bronze tools contain more copper than tin by mass.	https://ufl.pb.unizin.org/imos/chapter/copper-bronze/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
117	archaeology	history_archaeology	Prolonged drought chiefly drove the Bronze Age collapse.	climate-driven collapse (Kaniewski)	"multi-causal systems-collapse (Cline, ""1177 BC"")"	https://pmc.ncbi.nlm.nih.gov/articles/PMC9946833/|https://pmc.ncbi.nlm.nih.gov/articles/PMC3743901/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Stone tools appear in the archaeological record before metal ones.	https://humanorigins.si.edu/evidence/behavior/stone-tools	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
118	history	history_archaeology	Pre-Columbian America was far more populous than early estimates held.	"high-counters (Dobyns; Mann, ""1491"")"	low-counters (Ubelaker-line)	https://doi.org/10.1111/j.1467-8306.1992.tb01965.x	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The Victorian era was longer than the Edwardian era.	https://www.english-heritage.org.uk/learn/story-of-england/victorian/|https://www.royal.uk/edward-vii	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
119	archaeology	history_archaeology	Higher farm productivity than foraging explains early agriculture's spread.	productivity-based Neolithic-transition theorists	Bowles-line demographic and social explanations	https://pubmed.ncbi.nlm.nih.gov/21383181/|https://pmc.ncbi.nlm.nih.gov/articles/PMC4655578/	Bowles directly tests and rejects a productivity advantage over foraging; the paired transition model evaluates demographic and institutional alternatives.	Acidic soils accelerate bone decay faster than neutral soils.	https://www.jstor.org/stable/280601	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
120	education	mind_language_society	Handwriting instruction improves reading acquisition more than typing does.	handwriting-benefit researchers (James; Longcamp)	keyboard-equivalence proponents	https://pmc.ncbi.nlm.nih.gov/articles/PMC4274624/|https://researchprofiles.canberra.edu.au/en/publications/effect-sizes-ofwriting-modality-onk6-students-writing-andreading-/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Distributed practice improves long-term retention more than massed practice.	https://pmc.ncbi.nlm.nih.gov/articles/PMC12189222/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
